Amaranthaceae	Anacardiaceae	Apiaceae	Araucaria.Angustifolia	Arecaceae	Asteraceae	Cecropia	Celtis	Clethra	Drimys.Brasiliensis	Euphorbiaceae	Fabaceae	Hedyosmum.	Ilex	Lamanonia.speciosa.type	Malpighiaceae	Melastomataceae.Combretaceae	Moraceae.Urticaceae	Myrsine	Myrtaceae	Piper	Poaceae	Podocarpus	Rubiaceae	Sapindaceae	Solanaceae	Symplocos	Trema.type	Weinmannia
0	0.362318841	2.536231884	0	0	10.86956522	0	0.362318841	0	0.362318841	0.724637681	0.724637681	0	3.985507246	0	0	1.086956522	0.724637681	0.362318841	9.782608696	0	65.57971014	0	0	0	0	0	0	1.086956522
0	0	3.202846975	0	0	9.608540925	0	0	0	0	0.711743772	1.423487544	0	3.202846975	0	0	0.355871886	0	0	9.252669039	0	66.19217082	0.355871886	0	0	0.355871886	0.711743772	0	1.423487544
0	0	1.075268817	0	0	9.677419355	0.358422939	0	0	0	0.358422939	1.433691756	0.358422939	1.792114695	0	0	0.716845878	0	1.075268817	8.243727599	0	68.8172043	0.358422939	0	0.358422939	0	0.358422939	0	2.508960573
0.363636364	0	2.545454545	0	0.363636364	12.36363636	0	0	0	0	0	1.454545455	0	3.636363636	0	0	1.090909091	0.727272727	0.363636364	14.54545455	0	56.36363636	0.363636364	0	0	0	0	0	2.909090909
0	0	1.454545455	0	0.363636364	10.54545455	0	0.727272727	0	0	0	0.727272727	0	2.909090909	0	0	0.727272727	0	1.454545455	7.636363636	0	65.81818182	0	0	0	0	0.727272727	0	2.181818182
0.358422939	0	1.433691756	0	0	10.39426523	0	0	0	0	0.358422939	1.075268817	0	1.433691756	0	0	0.716845878	0	0.358422939	10.03584229	0	67.02508961	0.716845878	0.358422939	0	0	0.358422939	0	2.150537634
0	0	1.748251748	0	0	13.98601399	0	0	0	0	0.699300699	0	0	0.699300699	0	0	0.699300699	0	0.699300699	7.692307692	0	66.78321678	0.34965035	0.34965035	0.34965035	0	0.34965035	0	1.048951049
0.350877193	0.350877193	1.754385965	0	0	7.719298246	0	0	0	0	0.350877193	1.754385965	0.350877193	2.456140351	0	0	1.052631579	0.701754386	0	4.912280702	0	72.98245614	0	0	0	0	1.403508772	0	2.456140351
0	0	0.709219858	0	0	10.9929078	0	0	0	0.354609929	0.709219858	0	0	3.546099291	0	0	2.127659574	0	1.063829787	7.80141844	0	66.66666667	0.709219858	0	0	0	0	0	2.127659574
0	0	2.120141343	0	0	9.540636042	0	0.35335689	0	0.35335689	0.706713781	1.060070671	0	1.060070671	0	0	0.35335689	0	0.35335689	7.4204947	0	72.43816254	0	0	0	0	0.706713781	0	1.413427562
0	0	2.592592593	0	0	9.62962963	0	0.37037037	0	0.740740741	0.37037037	0.740740741	0	1.481481481	0	0	1.111111111	0	0	9.259259259	0	67.40740741	0.37037037	0	0	0	0.37037037	0	1.481481481
